project_group,test_code,Prediction,Ground_Truth,Token_List
1,"@Test
public void aPlainDeliveryIsValid() {
    assertTrue(validator.validate(legal().build()).isValid());
}
",5,5,
1,"@Test
public void aNullBallIsRejected() {
    assertFalse(validator.validate(null).isValid());
}
",5,5,
1,"@Test
public void aNullBallReportsAReason() {
    assertNotNull(validator.validate(null).firstError());
}
",5,5,
1,"@Test
public void aNegativeOverIsRejected() {
    assertFalse(validator.validate(legal().over(-1).build()).isValid());
}
",5,5,
1,"@Test
public void ballZeroOfAnOverIsRejected() {
    assertFalse(validator.validate(legal().ballInOver(0).build()).isValid());
}
",5,5,
1,"@Test
public void aSeventhDeliveryIsAllowedAfterAWide() {
    assertTrue(validator.validate(legal().ballInOver(7).build()).isValid());
}
",5,5,
1,"@Test
public void anEighthDeliveryIsRejected() {
    assertFalse(validator.validate(legal().ballInOver(8).build()).isValid());
}
",5,5,
1,"@Test
public void negativeRunsOffBatAreRejected() {
    assertFalse(validator.validate(legal().runsOffBat(-1).build()).isValid());
}
",5,5,
1,"@Test
public void sixRunsOffBatAreAllowed() {
    assertTrue(validator.validate(legal().runsOffBat(6).build()).isValid());
}
",5,5,
1,"@Test
public void sevenRunsOffBatAreRejected() {
    assertFalse(validator.validate(legal().runsOffBat(7).build()).isValid());
}
",5,5,
1,"@Test
public void theSameBatterAtBothEndsIsRejected() {
    Ball ball = Ball.builder().over(0).ballInOver(1)
            .bowler(""AUS8"").striker(""IND1"").nonStriker(""IND1"").build();
    assertTrue(validator.validate(ball).hasError(""different players""));
}
",5,5,
1,"@Test
public void aBowlerFacingHisOwnDeliveryIsRejected() {
    Ball ball = Ball.builder().over(0).ballInOver(1)
            .bowler(""IND1"").striker(""IND1"").nonStriker(""IND2"").build();
    assertFalse(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void runsOffTheBatFromAWideAreRejected() {
    Ball ball = legal().extra(ExtraType.WIDE, 0).runsOffBat(2).build();
    assertTrue(validator.validate(ball).hasError(""off the bat from a wide""));
}
",5,5,
1,"@Test
public void aPlainWideIsValid() {
    assertTrue(validator.validate(legal().extra(ExtraType.WIDE, 0).build()).isValid());
}
",5,5,
1,"@Test
public void aWideWithExtraRunsIsValid() {
    assertTrue(validator.validate(legal().extra(ExtraType.WIDE, 4).build()).isValid());
}
",5,5,
1,"@Test
public void byesCombinedWithRunsOffTheBatAreRejected() {
    Ball ball = legal().extra(ExtraType.BYE, 2).runsOffBat(1).build();
    assertFalse(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void legByesCombinedWithRunsOffTheBatAreRejected() {
    Ball ball = legal().extra(ExtraType.LEG_BYE, 1).runsOffBat(1).build();
    assertFalse(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void aNoBallHitForRunsIsValid() {
    assertTrue(validator.validate(legal().extra(ExtraType.NO_BALL, 0).runsOffBat(6).build()).isValid());
}
",5,5,
1,"@Test
public void aPenaltyWithoutRunsIsRejected() {
    assertFalse(validator.validate(legal().extra(ExtraType.PENALTY, 0).build()).isValid());
}
",5,5,
1,"@Test
public void aPenaltyWithRunsIsValid() {
    assertTrue(validator.validate(legal().extra(ExtraType.PENALTY, 5).build()).isValid());
}
",5,5,
1,"@Test
public void beingBowledOffAWideIsRejected() {
    Ball ball = legal().extra(ExtraType.WIDE, 0)
            .wicket(WicketEvent.of(Dismissal.BOWLED, ""IND1"")).build();
    assertTrue(validator.validate(ball).hasError(""illegal delivery""));
}
",5,5,
